Student_ID,Age,Study_Hours_Per_Week,Attendance_Percentage,Assignment_Score,Internal_Marks,CGPA
STU056,21,22,77.2,55,64,6.3
STU057,25,5,58.7,38,61,8.62
STU058,18,15,59.1,96,75,7.48
STU059,20,32,82.1,96,45,5.41
STU060,22,29,79.9,58,66,6.1
STU061,20,27,64.6,89,83,8.42
STU062,24,35,97.6,43,43,5.38
STU063,22,34,90.2,37,84,9.26
STU064,18,39,60.1,65,77,7.48
STU065,24,11,96.9,74,36,7.4
STU066,19,20,98.8,70,36,7.96
STU067,21,30,99.8,58,62,9.12
STU068,18,6,57.5,40,52,6.74
STU069,21,5,88.2,100,48,8.39
STU070,23,16,79.6,38,48,7.83
STU071,19,9,86.8,40,65,6.34
STU072,19,36,98.6,85,58,9.39
STU073,18,13,86,96,89,8.99
STU074,19,39,92.7,91,31,8.29
STU075,22,23,94,100,30,9.25
STU076,19,20,92.7,42,76,9.34
STU077,21,7,74.2,60,49,8.54
STU078,21,24,65,85,40,9.19
STU079,24,28,72.8,79,31,8.49
STU080,21,37,95.1,78,41,8.4
STU081,24,28,61.6,39,49,8.09
STU082,21,15,78.1,60,34,8.76
STU083,22,12,65.5,53,66,5.79
STU084,25,40,81.2,54,67,9.4
STU085,24,24,93.8,46,38,9.36
STU086,20,39,94.6,81,82,5.15
STU087,23,29,65.7,35,73,9.13
STU088,18,39,95.8,48,53,5.64
STU089,21,29,81.6,98,59,6.68
STU090,19,33,70.8,72,88,8.72
STU091,25,22,86.9,71,43,5.8
STU092,21,22,76.7,45,38,9.09
STU093,19,6,72,37,69,9.16
STU094,23,39,86.7,67,95,7.54
STU095,23,20,66.2,40,54,5.03
STU096,23,40,69.9,84,51,6.44
STU097,19,37,74.6,44,33,8.08
STU098,21,8,66.4,39,55,9.91
STU099,23,37,73.2,57,87,8.16
STU100,22,18,80.7,44,58,6.3
STU101,24,25,88.3,78,66,8.17
STU102,19,24,89.5,36,47,7.7
STU103,19,12,92,47,71,8.9
STU104,21,11,88.5,74,70,5.53
STU105,19,7,85.6,36,67,8.81
STU106,19,21,65.7,99,63,7.71
STU107,23,37,73,97,46,9.81
STU108,21,16,76.5,51,66,6.71
STU109,23,26,58.7,43,54,8.16
STU110,24,26,78.8,49,56,9.66
STU111,25,34,74.6,58,86,5.51
STU112,24,12,91.1,72,60,9.69
STU113,25,31,99,69,35,8.44
STU114,23,31,80,83,69,5.34
STU115,24,38,69.5,96,41,6.5
STU116,21,25,57,94,82,8.54
STU117,18,34,96.6,84,39,5.34
STU118,23,37,96.4,43,74,7.91
STU119,25,32,66.4,68,46,6.73
STU120,22,37,86.3,69,55,8.1
STU121,25,9,58.4,35,91,5.23
STU122,22,23,62.5,74,75,9.36
STU123,19,8,64.8,98,93,9.87
STU124,24,39,68.3,56,31,9.84
STU125,22,21,99.8,94,83,8.75
STU126,25,32,86.4,98,94,5.65
STU127,19,34,72.3,45,80,8.79
STU128,18,33,88.2,48,82,5.12
STU129,21,10,96.2,94,65,5.11
STU130,21,39,98.1,64,55,6.62
STU131,21,28,57.6,69,58,7.44
STU132,22,33,72.8,71,50,8.85
STU133,18,35,59.8,39,40,8.42
STU134,22,39,70.1,60,69,7.23
STU135,24,37,62.6,96,40,6.37
STU136,22,25,84.1,38,65,9.99
STU137,18,36,72.5,76,88,7.13
STU138,18,27,65.3,52,68,7.26
STU139,24,37,67,74,83,5.82
STU140,18,7,71.2,73,84,8.97
STU141,25,22,66.7,48,53,8.47
STU142,18,29,75.4,66,51,6.1
STU143,21,35,56.5,85,85,5.41
STU144,25,7,67.6,72,62,8.4
STU145,25,28,73.5,57,65,8.27
STU146,24,36,82.1,97,49,6.37
STU147,20,26,67.2,49,91,9.75
STU148,20,27,61,59,55,5.76
STU149,18,6,58.4,51,95,7.16
STU150,25,31,97.3,100,69,9.72
STU151,20,6,73.7,87,46,7.1
STU152,20,30,81.2,85,30,8.19
STU153,18,21,96.4,73,90,6.99
STU154,20,37,58.7,85,72,6.37
STU155,22,13,94.4,40,71,9.92
STU156,19,33,79.8,41,54,7.05
STU157,24,30,62.4,85,68,9.47
STU158,19,39,73.5,76,64,6.15
STU159,18,29,90,98,32,6.07
STU160,21,28,76.6,49,73,5.16
STU161,24,17,99.3,63,80,8.26
STU162,18,11,72,67,41,6.84
STU163,25,40,88.7,61,48,9.32
STU164,21,24,72.7,70,73,7.37
STU165,19,5,92.3,63,88,9.84
STU166,18,12,80.6,72,78,5.93
STU167,25,20,57.9,91,90,9.34
STU168,24,18,56.7,61,46,8.88
STU169,24,16,61,89,86,8.85
STU170,23,27,55.6,67,84,9.22
STU171,25,19,58.4,100,76,8.81
STU172,22,32,86.1,44,41,8.13
STU173,20,38,79,39,91,5.66
STU174,21,6,88.7,72,37,5.16
STU175,25,36,96.1,47,50,9.6
STU176,23,27,81.3,65,54,8.08
STU177,20,26,87.7,81,41,8.98
STU178,20,29,89.1,86,44,7.41
STU179,18,26,72,90,88,5.59
STU180,20,26,65.8,49,55,5.63
STU181,22,10,64.2,63,55,8.43
STU182,24,19,66.3,42,76,7.15
STU183,23,37,67.4,39,61,6
STU184,20,12,64.3,63,39,7.46
STU185,18,9,94.5,81,45,5.32
STU186,22,8,89.1,79,46,7.91
STU187,19,10,57.1,36,52,6.34
STU188,24,36,67.1,61,55,8.99
STU189,24,34,56,70,36,6.55
STU190,23,39,77.4,70,43,7.28
STU191,24,20,76.4,60,36,5.06
STU192,20,17,92.4,77,38,5.36
STU193,18,34,68.8,61,77,6.96
STU194,24,23,91.7,54,88,7.4
STU195,24,21,98.6,45,68,8
STU196,19,23,59,72,47,6.46
STU197,19,32,90.6,40,88,8.47
STU198,21,30,81.5,57,46,9.3
STU199,22,30,76.6,81,43,8.9
STU200,20,27,73.9,80,60,5.2
STU201,24,13,90.3,46,53,7.4
STU202,25,16,83.8,47,89,5.52
STU203,24,5,91.2,96,74,6.21
STU204,18,5,95.6,94,32,9.93
STU205,21,38,82.8,77,66,5.71
STU206,22,36,99.1,39,72,7.49
STU207,25,29,82.4,71,69,8.09
STU208,21,5,83.6,65,84,8.51
STU209,23,20,80,43,68,7.8
STU210,22,9,59.1,85,44,5.05
STU211,24,26,87.7,63,33,6.63
STU212,24,33,79.6,74,54,7.59
STU213,22,7,75.3,75,42,5.44
STU214,24,16,96,45,62,6.75
STU215,20,30,68.4,57,45,5.17
STU216,22,20,78.6,35,71,5.39
STU217,21,26,86.4,80,95,6.98
STU218,22,33,90.8,55,84,5.66
STU219,25,18,75.7,70,71,7.84
STU220,24,32,92.9,88,63,8.45
STU221,20,9,89.6,91,59,9
STU222,20,34,58,35,42,6
STU223,23,9,57.1,97,42,5.84
STU224,21,16,82.9,88,47,5.52
STU225,19,20,70.6,89,61,8.18
STU226,19,30,64.4,74,68,8.53
STU227,22,30,81.1,49,75,5.16
STU228,23,25,70.4,55,58,9.68
STU229,18,40,79.2,81,91,5.26
STU230,22,37,75.7,87,91,7.71
STU231,23,34,81.3,43,86,8.55
STU232,21,27,73,86,45,9.35
STU233,21,14,86.4,91,85,8.57
STU234,21,9,63.1,60,39,9.01
STU235,21,40,86.3,75,59,6.7
STU236,21,38,73.5,69,54,9.07
STU237,23,35,94.3,97,34,5.4
STU238,23,14,78.2,59,94,9.47
STU239,20,23,98.8,72,78,7.74
STU240,25,36,82.1,36,32,9.09
STU241,19,5,65.1,41,74,7.26
STU242,24,9,92,68,43,8.22
STU243,21,8,70.5,51,59,7.63
STU244,18,20,70.6,77,47,8.66
STU245,24,28,56.4,93,91,5.41
STU246,23,20,79.7,85,66,5.3
STU247,18,6,79,88,54,6.24
STU248,18,32,71,58,77,5.8
STU249,18,36,95.2,59,94,9.36
STU250,20,31,60.8,86,82,6.1
